//
//    Name:     cp950 to Unicode table
//    Unicode version: 2.0
//    Table version: 2.01
//    Table format:  Format A
//    Date:          1/7/2000
//
//    Contact:       Shawn.Steele@microsoft.com
//
//    General notes: none
//
//    Format: Three tab-separated columns
//        Column //2 is the cp950 code (in hex)
//        Column //1 is the Unicode (in hex as 0xXXXX)
//        Column //3 is the Unicode name (follows a comment sign, '//')
//
//    The entries are in cp950 order
//
0x0000:0x00,	//NULL
0x0001:0x01,	//START OF HEADING
0x0002:0x02,	//START OF TEXT
0x0003:0x03,	//END OF TEXT
0x0004:0x04,	//END OF TRANSMISSION
0x0005:0x05,	//ENQUIRY
0x0006:0x06,	//ACKNOWLEDGE
0x0007:0x07,	//BELL
0x0008:0x08,	//BACKSPACE
0x0009:0x09,	//HORIZONTAL TABULATION
0x000A:0x0A,	//LINE FEED
0x000B:0x0B,	//VERTICAL TABULATION
0x000C:0x0C,	//FORM FEED
0x000D:0x0D,	//CARRIAGE RETURN
0x000E:0x0E,	//SHIFT OUT
0x000F:0x0F,	//SHIFT IN
0x0010:0x10,	//DATA LINK ESCAPE
0x0011:0x11,	//DEVICE CONTROL ONE
0x0012:0x12,	//DEVICE CONTROL TWO
0x0013:0x13,	//DEVICE CONTROL THREE
0x0014:0x14,	//DEVICE CONTROL FOUR
0x0015:0x15,	//NEGATIVE ACKNOWLEDGE
0x0016:0x16,	//SYNCHRONOUS IDLE
0x0017:0x17,	//END OF TRANSMISSION BLOCK
0x0018:0x18,	//CANCEL
0x0019:0x19,	//END OF MEDIUM
0x001A:0x1A,	//SUBSTITUTE
0x001B:0x1B,	//ESCAPE
0x001C:0x1C,	//FILE SEPARATOR
0x001D:0x1D,	//GROUP SEPARATOR
0x001E:0x1E,	//RECORD SEPARATOR
0x001F:0x1F,	//UNIT SEPARATOR
0x0020:0x20,	//SPACE
0x0021:0x21,	//EXCLAMATION MARK
0x0022:0x22,	//QUOTATION MARK
0x0023:0x23,	//NUMBER SIGN
0x0024:0x24,	//DOLLAR SIGN
0x0025:0x25,	//PERCENT SIGN
0x0026:0x26,	//AMPERSAND
0x0027:0x27,	//APOSTROPHE
0x0028:0x28,	//LEFT PARENTHESIS
0x0029:0x29,	//RIGHT PARENTHESIS
0x002A:0x2A,	//ASTERISK
0x002B:0x2B,	//PLUS SIGN
0x002C:0x2C,	//COMMA
0x002D:0x2D,	//HYPHEN-MINUS
0x002E:0x2E,	//FULL STOP
0x002F:0x2F,	//SOLIDUS
0x0030:0x30,	//DIGIT ZERO
0x0031:0x31,	//DIGIT ONE
0x0032:0x32,	//DIGIT TWO
0x0033:0x33,	//DIGIT THREE
0x0034:0x34,	//DIGIT FOUR
0x0035:0x35,	//DIGIT FIVE
0x0036:0x36,	//DIGIT SIX
0x0037:0x37,	//DIGIT SEVEN
0x0038:0x38,	//DIGIT EIGHT
0x0039:0x39,	//DIGIT NINE
0x003A:0x3A,	//COLON
0x003B:0x3B,	//SEMICOLON
0x003C:0x3C,	//LESS-THAN SIGN
0x003D:0x3D,	//EQUALS SIGN
0x003E:0x3E,	//GREATER-THAN SIGN
0x003F:0x3F,	//QUESTION MARK
0x0040:0x40,	//COMMERCIAL AT
0x0041:0x41,	//LATIN CAPITAL LETTER A
0x0042:0x42,	//LATIN CAPITAL LETTER B
0x0043:0x43,	//LATIN CAPITAL LETTER C
0x0044:0x44,	//LATIN CAPITAL LETTER D
0x0045:0x45,	//LATIN CAPITAL LETTER E
0x0046:0x46,	//LATIN CAPITAL LETTER F
0x0047:0x47,	//LATIN CAPITAL LETTER G
0x0048:0x48,	//LATIN CAPITAL LETTER H
0x0049:0x49,	//LATIN CAPITAL LETTER I
0x004A:0x4A,	//LATIN CAPITAL LETTER J
0x004B:0x4B,	//LATIN CAPITAL LETTER K
0x004C:0x4C,	//LATIN CAPITAL LETTER L
0x004D:0x4D,	//LATIN CAPITAL LETTER M
0x004E:0x4E,	//LATIN CAPITAL LETTER N
0x004F:0x4F,	//LATIN CAPITAL LETTER O
0x0050:0x50,	//LATIN CAPITAL LETTER P
0x0051:0x51,	//LATIN CAPITAL LETTER Q
0x0052:0x52,	//LATIN CAPITAL LETTER R
0x0053:0x53,	//LATIN CAPITAL LETTER S
0x0054:0x54,	//LATIN CAPITAL LETTER T
0x0055:0x55,	//LATIN CAPITAL LETTER U
0x0056:0x56,	//LATIN CAPITAL LETTER V
0x0057:0x57,	//LATIN CAPITAL LETTER W
0x0058:0x58,	//LATIN CAPITAL LETTER X
0x0059:0x59,	//LATIN CAPITAL LETTER Y
0x005A:0x5A,	//LATIN CAPITAL LETTER Z
0x005B:0x5B,	//LEFT SQUARE BRACKET
0x005C:0x5C,	//REVERSE SOLIDUS
0x005D:0x5D,	//RIGHT SQUARE BRACKET
0x005E:0x5E,	//CIRCUMFLEX ACCENT
0x005F:0x5F,	//LOW LINE
0x0060:0x60,	//GRAVE ACCENT
0x0061:0x61,	//LATIN SMALL LETTER A
0x0062:0x62,	//LATIN SMALL LETTER B
0x0063:0x63,	//LATIN SMALL LETTER C
0x0064:0x64,	//LATIN SMALL LETTER D
0x0065:0x65,	//LATIN SMALL LETTER E
0x0066:0x66,	//LATIN SMALL LETTER F
0x0067:0x67,	//LATIN SMALL LETTER G
0x0068:0x68,	//LATIN SMALL LETTER H
0x0069:0x69,	//LATIN SMALL LETTER I
0x006A:0x6A,	//LATIN SMALL LETTER J
0x006B:0x6B,	//LATIN SMALL LETTER K
0x006C:0x6C,	//LATIN SMALL LETTER L
0x006D:0x6D,	//LATIN SMALL LETTER M
0x006E:0x6E,	//LATIN SMALL LETTER N
0x006F:0x6F,	//LATIN SMALL LETTER O
0x0070:0x70,	//LATIN SMALL LETTER P
0x0071:0x71,	//LATIN SMALL LETTER Q
0x0072:0x72,	//LATIN SMALL LETTER R
0x0073:0x73,	//LATIN SMALL LETTER S
0x0074:0x74,	//LATIN SMALL LETTER T
0x0075:0x75,	//LATIN SMALL LETTER U
0x0076:0x76,	//LATIN SMALL LETTER V
0x0077:0x77,	//LATIN SMALL LETTER W
0x0078:0x78,	//LATIN SMALL LETTER X
0x0079:0x79,	//LATIN SMALL LETTER Y
0x007A:0x7A,	//LATIN SMALL LETTER Z
0x007B:0x7B,	//LEFT CURLY BRACKET
0x007C:0x7C,	//VERTICAL LINE
0x007D:0x7D,	//RIGHT CURLY BRACKET
0x007E:0x7E,	//TILDE
0x007F:0x7F,	//DELETE
0x80	      	//UNDEFINED
0x81	      	//DBCS LEAD BYTE
0x82	      	//DBCS LEAD BYTE
0x83	      	//DBCS LEAD BYTE
0x84	      	//DBCS LEAD BYTE
0x85	      	//DBCS LEAD BYTE
0x86	      	//DBCS LEAD BYTE
0x87	      	//DBCS LEAD BYTE
0x88	      	//DBCS LEAD BYTE
0x89	      	//DBCS LEAD BYTE
0x8A	      	//DBCS LEAD BYTE
0x8B	      	//DBCS LEAD BYTE
0x8C	      	//DBCS LEAD BYTE
0x8D	      	//DBCS LEAD BYTE
0x8E	      	//DBCS LEAD BYTE
0x8F	      	//DBCS LEAD BYTE
0x90	      	//DBCS LEAD BYTE
0x91	      	//DBCS LEAD BYTE
0x92	      	//DBCS LEAD BYTE
0x93	      	//DBCS LEAD BYTE
0x94	      	//DBCS LEAD BYTE
0x95	      	//DBCS LEAD BYTE
0x96	      	//DBCS LEAD BYTE
0x97	      	//DBCS LEAD BYTE
0x98	      	//DBCS LEAD BYTE
0x99	      	//DBCS LEAD BYTE
0x9A	      	//DBCS LEAD BYTE
0x9B	      	//DBCS LEAD BYTE
0x9C	      	//DBCS LEAD BYTE
0x9D	      	//DBCS LEAD BYTE
0x9E	      	//DBCS LEAD BYTE
0x9F	      	//DBCS LEAD BYTE
0xA0	      	//DBCS LEAD BYTE
0xA1	      	//DBCS LEAD BYTE
0xA2	      	//DBCS LEAD BYTE
0xA3	      	//DBCS LEAD BYTE
0xA4	      	//DBCS LEAD BYTE
0xA5	      	//DBCS LEAD BYTE
0xA6	      	//DBCS LEAD BYTE
0xA7	      	//DBCS LEAD BYTE
0xA8	      	//DBCS LEAD BYTE
0xA9	      	//DBCS LEAD BYTE
0xAA	      	//DBCS LEAD BYTE
0xAB	      	//DBCS LEAD BYTE
0xAC	      	//DBCS LEAD BYTE
0xAD	      	//DBCS LEAD BYTE
0xAE	      	//DBCS LEAD BYTE
0xAF	      	//DBCS LEAD BYTE
0xB0	      	//DBCS LEAD BYTE
0xB1	      	//DBCS LEAD BYTE
0xB2	      	//DBCS LEAD BYTE
0xB3	      	//DBCS LEAD BYTE
0xB4	      	//DBCS LEAD BYTE
0xB5	      	//DBCS LEAD BYTE
0xB6	      	//DBCS LEAD BYTE
0xB7	      	//DBCS LEAD BYTE
0xB8	      	//DBCS LEAD BYTE
0xB9	      	//DBCS LEAD BYTE
0xBA	      	//DBCS LEAD BYTE
0xBB	      	//DBCS LEAD BYTE
0xBC	      	//DBCS LEAD BYTE
0xBD	      	//DBCS LEAD BYTE
0xBE	      	//DBCS LEAD BYTE
0xBF	      	//DBCS LEAD BYTE
0xC0	      	//DBCS LEAD BYTE
0xC1	      	//DBCS LEAD BYTE
0xC2	      	//DBCS LEAD BYTE
0xC3	      	//DBCS LEAD BYTE
0xC4	      	//DBCS LEAD BYTE
0xC5	      	//DBCS LEAD BYTE
0xC6	      	//DBCS LEAD BYTE
0xC7	      	//DBCS LEAD BYTE
0xC8	      	//DBCS LEAD BYTE
0xC9	      	//DBCS LEAD BYTE
0xCA	      	//DBCS LEAD BYTE
0xCB	      	//DBCS LEAD BYTE
0xCC	      	//DBCS LEAD BYTE
0xCD	      	//DBCS LEAD BYTE
0xCE	      	//DBCS LEAD BYTE
0xCF	      	//DBCS LEAD BYTE
0xD0	      	//DBCS LEAD BYTE
0xD1	      	//DBCS LEAD BYTE
0xD2	      	//DBCS LEAD BYTE
0xD3	      	//DBCS LEAD BYTE
0xD4	      	//DBCS LEAD BYTE
0xD5	      	//DBCS LEAD BYTE
0xD6	      	//DBCS LEAD BYTE
0xD7	      	//DBCS LEAD BYTE
0xD8	      	//DBCS LEAD BYTE
0xD9	      	//DBCS LEAD BYTE
0xDA	      	//DBCS LEAD BYTE
0xDB	      	//DBCS LEAD BYTE
0xDC	      	//DBCS LEAD BYTE
0xDD	      	//DBCS LEAD BYTE
0xDE	      	//DBCS LEAD BYTE
0xDF	      	//DBCS LEAD BYTE
0xE0	      	//DBCS LEAD BYTE
0xE1	      	//DBCS LEAD BYTE
0xE2	      	//DBCS LEAD BYTE
0xE3	      	//DBCS LEAD BYTE
0xE4	      	//DBCS LEAD BYTE
0xE5	      	//DBCS LEAD BYTE
0xE6	      	//DBCS LEAD BYTE
0xE7	      	//DBCS LEAD BYTE
0xE8	      	//DBCS LEAD BYTE
0xE9	      	//DBCS LEAD BYTE
0xEA	      	//DBCS LEAD BYTE
0xEB	      	//DBCS LEAD BYTE
0xEC	      	//DBCS LEAD BYTE
0xED	      	//DBCS LEAD BYTE
0xEE	      	//DBCS LEAD BYTE
0xEF	      	//DBCS LEAD BYTE
0xF0	      	//DBCS LEAD BYTE
0xF1	      	//DBCS LEAD BYTE
0xF2	      	//DBCS LEAD BYTE
0xF3	      	//DBCS LEAD BYTE
0xF4	      	//DBCS LEAD BYTE
0xF5	      	//DBCS LEAD BYTE
0xF6	      	//DBCS LEAD BYTE
0xF7	      	//DBCS LEAD BYTE
0xF8	      	//DBCS LEAD BYTE
0xF9	      	//DBCS LEAD BYTE
0xFA	      	//DBCS LEAD BYTE
0xFB	      	//DBCS LEAD BYTE
0xFC	      	//DBCS LEAD BYTE
0xFD	      	//DBCS LEAD BYTE
0xFE	      	//DBCS LEAD BYTE
0xFF	      	//UNDEFINED
0x3000:0xA140,	//IDEOGRAPHIC SPACE
0xFF0C:0xA141,	//FULLWIDTH COMMA
0x3001:0xA142,	//IDEOGRAPHIC COMMA
0x3002:0xA143,	//IDEOGRAPHIC FULL STOP
0xFF0E:0xA144,	//FULLWIDTH FULL STOP
0x2027:0xA145,	//HYPHENATION POINT
0xFF1B:0xA146,	//FULLWIDTH SEMICOLON
0xFF1A:0xA147,	//FULLWIDTH COLON
0xFF1F:0xA148,	//FULLWIDTH QUESTION MARK
0xFF01:0xA149,	//FULLWIDTH EXCLAMATION MARK
0xFE30:0xA14A,	//PRESENTATION FORM FOR VERTICAL TWO DOT LEADER
0x2026:0xA14B,	//HORIZONTAL ELLIPSIS
0x2025:0xA14C,	//TWO DOT LEADER
0xFE50:0xA14D,	//SMALL COMMA
0xFE51:0xA14E,	//SMALL IDEOGRAPHIC COMMA
0xFE52:0xA14F,	//SMALL FULL STOP
0x00B7:0xA150,	//MIDDLE DOT
0xFE54:0xA151,	//SMALL SEMICOLON
0xFE55:0xA152,	//SMALL COLON
0xFE56:0xA153,	//SMALL QUESTION MARK
0xFE57:0xA154,	//SMALL EXCLAMATION MARK
0xFF5C:0xA155,	//FULLWIDTH VERTICAL LINE
0x2013:0xA156,	//EN DASH
0xFE31:0xA157,	//PRESENTATION FORM FOR VERTICAL EM DASH
0x2014:0xA158,	//EM DASH
0xFE33:0xA159,	//PRESENTATION FORM FOR VERTICAL LOW LINE
0x2574:0xA15A,	//BOX DRAWINGS LIGHT LEFT
0xFE34:0xA15B,	//PRESENTATION FORM FOR VERTICAL WAVY LOW LINE
0xFE4F:0xA15C,	//WAVY LOW LINE
0xFF08:0xA15D,	//FULLWIDTH LEFT PARENTHESIS
0xFF09:0xA15E,	//FULLWIDTH RIGHT PARENTHESIS
0xFE35:0xA15F,	//PRESENTATION FORM FOR VERTICAL LEFT PARENTHESIS
0xFE36:0xA160,	//PRESENTATION FORM FOR VERTICAL RIGHT PARENTHESIS
0xFF5B:0xA161,	//FULLWIDTH LEFT CURLY BRACKET
0xFF5D:0xA162,	//FULLWIDTH RIGHT CURLY BRACKET
0xFE37:0xA163,	//PRESENTATION FORM FOR VERTICAL LEFT CURLY BRACKET
0xFE38:0xA164,	//PRESENTATION FORM FOR VERTICAL RIGHT CURLY BRACKET
0x3014:0xA165,	//LEFT TORTOISE SHELL BRACKET
0x3015:0xA166,	//RIGHT TORTOISE SHELL BRACKET
0xFE39:0xA167,	//PRESENTATION FORM FOR VERTICAL LEFT TORTOISE SHELL BRACKET
0xFE3A:0xA168,	//PRESENTATION FORM FOR VERTICAL RIGHT TORTOISE SHELL BRACKET
0x3010:0xA169,	//LEFT BLACK LENTICULAR BRACKET
0x3011:0xA16A,	//RIGHT BLACK LENTICULAR BRACKET
0xFE3B:0xA16B,	//PRESENTATION FORM FOR VERTICAL LEFT BLACK LENTICULAR BRACKET
0xFE3C:0xA16C,	//PRESENTATION FORM FOR VERTICAL RIGHT BLACK LENTICULAR BRACKET
0x300A:0xA16D,	//LEFT DOUBLE ANGLE BRACKET
0x300B:0xA16E,	//RIGHT DOUBLE ANGLE BRACKET
0xFE3D:0xA16F,	//PRESENTATION FORM FOR VERTICAL LEFT DOUBLE ANGLE BRACKET
0xFE3E:0xA170,	//PRESENTATION FORM FOR VERTICAL RIGHT DOUBLE ANGLE BRACKET
0x3008:0xA171,	//LEFT ANGLE BRACKET
0x3009:0xA172,	//RIGHT ANGLE BRACKET
0xFE3F:0xA173,	//PRESENTATION FORM FOR VERTICAL LEFT ANGLE BRACKET
0xFE40:0xA174,	//PRESENTATION FORM FOR VERTICAL RIGHT ANGLE BRACKET
0x300C:0xA175,	//LEFT CORNER BRACKET
0x300D:0xA176,	//RIGHT CORNER BRACKET
0xFE41:0xA177,	//PRESENTATION FORM FOR VERTICAL LEFT CORNER BRACKET
0xFE42:0xA178,	//PRESENTATION FORM FOR VERTICAL RIGHT CORNER BRACKET
0x300E:0xA179,	//LEFT WHITE CORNER BRACKET
0x300F:0xA17A,	//RIGHT WHITE CORNER BRACKET
0xFE43:0xA17B,	//PRESENTATION FORM FOR VERTICAL LEFT WHITE CORNER BRACKET
0xFE44:0xA17C,	//PRESENTATION FORM FOR VERTICAL RIGHT WHITE CORNER BRACKET
0xFE59:0xA17D,	//SMALL LEFT PARENTHESIS
0xFE5A:0xA17E,	//SMALL RIGHT PARENTHESIS
0xFE5B:0xA1A1,	//SMALL LEFT CURLY BRACKET
0xFE5C:0xA1A2,	//SMALL RIGHT CURLY BRACKET
0xFE5D:0xA1A3,	//SMALL LEFT TORTOISE SHELL BRACKET
0xFE5E:0xA1A4,	//SMALL RIGHT TORTOISE SHELL BRACKET
0x2018:0xA1A5,	//LEFT SINGLE QUOTATION MARK
0x2019:0xA1A6,	//RIGHT SINGLE QUOTATION MARK
0x201C:0xA1A7,	//LEFT DOUBLE QUOTATION MARK
0x201D:0xA1A8,	//RIGHT DOUBLE QUOTATION MARK
0x301D:0xA1A9,	//REVERSED DOUBLE PRIME QUOTATION MARK
0x301E:0xA1AA,	//DOUBLE PRIME QUOTATION MARK
0x2035:0xA1AB,	//REVERSED PRIME
0x2032:0xA1AC,	//PRIME
0xFF03:0xA1AD,	//FULLWIDTH NUMBER SIGN
0xFF06:0xA1AE,	//FULLWIDTH AMPERSAND
0xFF0A:0xA1AF,	//FULLWIDTH ASTERISK
0x203B:0xA1B0,	//REFERENCE MARK
0x00A7:0xA1B1,	//SECTION SIGN
0x3003:0xA1B2,	//DITTO MARK
0x25CB:0xA1B3,	//WHITE CIRCLE
0x25CF:0xA1B4,	//BLACK CIRCLE
0x25B3:0xA1B5,	//WHITE UP-POINTING TRIANGLE
0x25B2:0xA1B6,	//BLACK UP-POINTING TRIANGLE
0x25CE:0xA1B7,	//BULLSEYE
0x2606:0xA1B8,	//WHITE STAR
0x2605:0xA1B9,	//BLACK STAR
0x25C7:0xA1BA,	//WHITE DIAMOND
0x25C6:0xA1BB,	//BLACK DIAMOND
0x25A1:0xA1BC,	//WHITE SQUARE
0x25A0:0xA1BD,	//BLACK SQUARE
0x25BD:0xA1BE,	//WHITE DOWN-POINTING TRIANGLE
0x25BC:0xA1BF,	//BLACK DOWN-POINTING TRIANGLE
0x32A3:0xA1C0,	//CIRCLED IDEOGRAPH CORRECT
0x2105:0xA1C1,	//CARE OF
0x00AF:0xA1C2,	//MACRON
0xFFE3:0xA1C3,	//FULLWIDTH MACRON
0xFF3F:0xA1C4,	//FULLWIDTH LOW LINE
0x02CD:0xA1C5,	//MODIFIER LETTER LOW MACRON
0xFE49:0xA1C6,	//DASHED OVERLINE
0xFE4A:0xA1C7,	//CENTRELINE OVERLINE
0xFE4D:0xA1C8,	//DASHED LOW LINE
0xFE4E:0xA1C9,	//CENTRELINE LOW LINE
0xFE4B:0xA1CA,	//WAVY OVERLINE
0xFE4C:0xA1CB,	//DOUBLE WAVY OVERLINE
0xFE5F:0xA1CC,	//SMALL NUMBER SIGN
0xFE60:0xA1CD,	//SMALL AMPERSAND
0xFE61:0xA1CE,	//SMALL ASTERISK
0xFF0B:0xA1CF,	//FULLWIDTH PLUS SIGN
0xFF0D:0xA1D0,	//FULLWIDTH HYPHEN-MINUS
0x00D7:0xA1D1,	//MULTIPLICATION SIGN
0x00F7:0xA1D2,	//DIVISION SIGN
